"P#","C#","T#","CANTIDAD"
"P1","C1","T1","200"
"P1","C1","T4","700"
"P2","C3","T1","400"
"P2","C3","T2","200"
"P2","C3","T3","200"
"P2","C3","T4","500"
"P2","C3","T5","600"
"P2","C3","T6","400"
"P2","C3","T7","800"
"P2","C5","T2","100"
"P3","C3","T1","200"
"P3","C4","T2","500"
"P4","C6","T3","300"
"P4","C6","T7","300"
"P5","C2","T2","200"
"P5","C2","T4","100"
"P5","C5","T4","500"
"P5","C5","T7","100"
"P5","C6","T2","200"
"P5","C1","T4","100"
"P5","C3","T4","200"
"P5","C4","T4","800"
"P5","C5","T5","400"
"P5","C6","T4","500"
